"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jun 24 18:05:42 MSK 2025","Tue Jun 24 18:05:44 MSK 2025","2705","","site.nomoreparties.stellarburgers.tests.RegistrationTest","","site.nomoreparties.stellarburgers.tests.RegistrationTest","registrationAllCorrectParamSuccessTest","Успещная регистрация пользователя в системе с корректными значениями имя, email, пароль","Переход на страницу /register, вввод корректных значений во все поля формы, успешный переход на страницу 'Вход'"
"passed","Tue Jun 24 18:05:34 MSK 2025","Tue Jun 24 18:05:38 MSK 2025","3791","","site.nomoreparties.stellarburgers.tests.LoginTest","","site.nomoreparties.stellarburgers.tests.LoginTest","successLoginFromPersonalAccountTest","Успешный вход в систему через кнопку 'Личный кабинет' в хедере","Переход в форму входа в личный кабинет через кнопку 'Личный кабинет' в хедере"
"passed","Tue Jun 24 18:05:20 MSK 2025","Tue Jun 24 18:05:23 MSK 2025","2967","","site.nomoreparties.stellarburgers.tests.ConstructorNavigatingTest","","site.nomoreparties.stellarburgers.tests.ConstructorNavigatingTest","moveToSouseTabSuccessTest","Успешный переход во вкладку 'Соусы' в конструкторе","Проверка перехода во вкладку 'Соусы' в конструкторе: в названии класса активной вкладки имеется значение current, заголовок 'Соусы' отображается под панелью вкладок"
"passed","Tue Jun 24 18:05:30 MSK 2025","Tue Jun 24 18:05:34 MSK 2025","4195","","site.nomoreparties.stellarburgers.tests.LoginTest","","site.nomoreparties.stellarburgers.tests.LoginTest","successLoginFromRegistrationFormTest","Успешный вход в систему через кнопку 'Войти' под формой регистрации","Переход в форму входа в личный кабинет через кнопку 'Войти' под формой регистрации"
"passed","Tue Jun 24 18:05:14 MSK 2025","Tue Jun 24 18:05:17 MSK 2025","3719","","site.nomoreparties.stellarburgers.tests.ConstructorNavigatingTest","","site.nomoreparties.stellarburgers.tests.ConstructorNavigatingTest","moveToFillingsTabSuccessTest","Успешный переход во вкладку 'Начинки' в конструкторе","Проверка перехода во вкладку 'Начинки' в конструкторе: в названии класса активной вкладки имеется значение current, заголовок 'Начинки' отображается под панелью вкладок"
"passed","Tue Jun 24 18:05:17 MSK 2025","Tue Jun 24 18:05:20 MSK 2025","3054","","site.nomoreparties.stellarburgers.tests.ConstructorNavigatingTest","","site.nomoreparties.stellarburgers.tests.ConstructorNavigatingTest","moveToBunsTabSuccessTest","Успешный переход во вкладку 'Булки' в конструкторе","Проверка перехода во вкладку 'Булки' в конструкторе: в названии класса активной вкладки имеется значение current, заголовок 'Булки' отображается под панелью вкладок"
"passed","Tue Jun 24 18:05:38 MSK 2025","Tue Jun 24 18:05:42 MSK 2025","4107","","site.nomoreparties.stellarburgers.tests.LoginTest","","site.nomoreparties.stellarburgers.tests.LoginTest","successLoginFromResetPasswordTest","Успешный вход в систему через кнопку 'Восстановить пароль' под формой входа","Вход в систему через кнопку 'Восстановить пароль' под формой входа"
"passed","Tue Jun 24 18:05:44 MSK 2025","Tue Jun 24 18:05:47 MSK 2025","2174","","site.nomoreparties.stellarburgers.tests.RegistrationTest","","site.nomoreparties.stellarburgers.tests.RegistrationTest","registrationTest","Ошибка регистрации пользователя при вводе пароля длинной менее 6 символов","Переход на страницу /register, вввод некорректного значения в поле формы 'Пароль', отображение ошибки"
"passed","Tue Jun 24 18:05:23 MSK 2025","Tue Jun 24 18:05:30 MSK 2025","6229","","site.nomoreparties.stellarburgers.tests.LoginTest","","site.nomoreparties.stellarburgers.tests.LoginTest","successLoginFromMainPageTest","Успешный вход в систему с главной страницы сайта","Переход в форму входа в личный кабинет через кнопку 'Войти в аккаунт' на главной странице"
